NP_620542,P4b ,Rice ragged stunt virus,326,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_955624,autocatalytic protease ,Rice ragged stunt virus,224,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_955625,major capsid protein ,Rice ragged stunt virus,372,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_619551,capsid protein ,Giardia lamblia virus,886,Totiviridae; Giardiavirus,,,,,,,,,,
NP_620070,gag-pol fusion protein ,Giardia lamblia virus,1870,Totiviridae; Giardiavirus,,,,,,,,,,
NP_041190,putative coat protein ,Leishmania RNA virus 1 - 1,741,Totiviridae; Leishmaniavirus,,,,,,,,,,
NP_041191,RNA dependent RNA polymerase ,Leishmania RNA virus 1 - 1,874,Totiviridae; Leishmaniavirus,,,,,,,,,,
NP_620493,ssRNA-binding protein ,Saccharomyces cerevisiae virus,1505,Totiviridae; Totivirus,,,,,,,,,,
NP_620494,major coat protein ,Saccharomyces cerevisiae virus,680,Totiviridae; Totivirus,,,,,,,,,,
NP_620495,RNA polymerase ,Saccharomyces cerevisiae virus,731,Totiviridae; Totivirus,,,,,,,,,,
AED99811,capsid protein ,Trichomonas vaginalis virus 1,678,Totiviridae; Trichomonasvirus,,,,,,,,,,
AED99812,RNA-dependent RNA polymerase ,Trichomonas vaginalis virus 1,1429,Totiviridae; Trichomonasvirus,,,,,,,,,,
NP_619669,coat protein ,Helminthosporium victoriae virus 190S,772,Totiviridae; Victorivirus,,,,,,,,,,
NP_619670,RNA dependent RNA polymerase ,Helminthosporium victoriae virus 190S,835,Totiviridae; Victorivirus,,,,,,,,,,
YP_003288762,hypothetical protein ,Rosellinia necatrix megabirnavirus,1240,Megabirnavirus,,,,,,,,,,
YP_003288764,hypothetical protein ,Rosellinia necatrix megabirnavirus,1426,Megabirnavirus,,,,,,,,,,
YP_003288765,hypothetical protein ,Rosellinia necatrix megabirnavirus,227,Megabirnavirus,,,,,,,,,,
YP_003288763,RNA-dependent RNA polymerase ,Rosellinia necatrix megabirnavirus ,1111,Megabirnavirus,,,,,,,,,,
,,,,,,,,,,,,,,
Positive-sense ssRNA viral proteins,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GenBank Accession,Protein description,Virus of origin,Sequence Length (amino acids),Taxonomy,,,,,,,,,,
NP_048059,RNA-dependent RNA polymerase ,Nudaurelia capensis beta virus,1925,Alphatetraviridae; Betatetravirus,,,,,,,,,,
NP_048060,capsid protein ,Nudaurelia capensis beta virus,612,Alphatetraviridae; Betatetravirus,,,,,,,,,,
NP_049235,RNA-dependent RNA polymerase ,Helicoverpa armigera stunt virus,1704,Alphatetraviridae; Omegatetravirus,,,,,,,,,,
AAY54573,p17 ,Nudaurelia capensis omega virus,158,Alphatetraviridae; Omegatetravirus,,,,,,,,,,
AAY54574,p70 ,Nudaurelia capensis omega virus,644,Alphatetraviridae; Omegatetravirus,,,,,,,,,,
YP_386495,polyprotein coding for replicases,Heterocapsa circularisquama RNA virus,999,Alvernaviridae; Dinornavirus,,,,,,,,,,
YP_386496,major viral capsid protein ,Heterocapsa circularisquama RNA virus,359,Alvernaviridae; Dinornavirus,,,,,,,,,,
CAB95005,putative serine protase ,Avastrovirus 1,1099,Astroviridae; Avastrovirus,,,,,,,,,,
CAB95006,putative RNA-dependant RNA polymerase ,Avastrovirus 1,512,Astroviridae; Avastrovirus,,,,,,,,,,
CAB95007,capsid protein precursor ,Avastrovirus 1,671,Astroviridae; Avastrovirus,,,,,,,,,,
CAA81033,Non-structural protein ,Human astrovirus 1,1436,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751899,VP34 precursor ,Mamastrovirus 1,324,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751900,VP29 precursor ,Mamastrovirus 1,392,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751901,VP26 precursor ,Mamastrovirus 1,425,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751902,"NSMP-1, non-structural mature protein 1 ",Mamastrovirus 1,170,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751903,"NSMP-3, non-structural mature protein 3 ",Mamastrovirus 1,245,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751904,"NSMP-4, non-structural mature protein 4 ",Mamastrovirus 1,268,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751905,orf1b product ,Mamastrovirus 1,514,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_751906,"NSMP-2, non-structural mature protein 2 ",Mamastrovirus 1,239,Astroviridae; Mamastrovirus,,,,,,,,,,
NP_042508,hypothetical protein MBVgp1 ,Mushroom bacilliform virus,179,Barnaviridae; Barnavirus,,,,,,,,,,
NP_042509,hypothetical protein MBVgp2 ,Mushroom bacilliform virus,657,Barnaviridae; Barnavirus,,,,,,,,,,
NP_042510,hypothetical protein MBVgp3 ,Mushroom bacilliform virus,1025,Barnaviridae; Barnavirus,,,,,,,,,,
NP_042511,coat protein ,Mushroom bacilliform virus,198,Barnaviridae; Barnavirus,,,,,,,,,,
NP_612614,26kDa protein ,Beet necrotic yellow vein virus,228,Benyviridae; Benyvirus,,,,,,,,,,
NP_612615,237k protein ,Beet necrotic yellow vein virus,2109,Benyviridae; Benyvirus,,,,,,,,,,
NP_612616,75k protein ,Beet necrotic yellow vein virus,690,Benyviridae; Benyvirus,,,,,,,,,,
NP_705610,coat protein ,Beet necrotic yellow vein virus,188,Benyviridae; Benyvirus,,,,,,,,,,
NP_041192,125.7 kd protein ,Alfalfa mosaic virus,1126,Bromoviridae; Alfamovirus,,,,,,,,,,
NP_041194,32.4 kd protein ,Alfalfa mosaic virus,300,Bromoviridae; Alfamovirus,,,,,,,,,,
NP_041195,coat protein ,Alfalfa mosaic virus,221,Bromoviridae; Alfamovirus,,,,,,,,,,
NP_619770,replicase ,Pelargonium zonate spot virus,962,Bromoviridae; Anulavirus,,,,,,,,,,
NP_619771,putative 2a protein ,Pelargonium zonate spot virus,687,Bromoviridae; Anulavirus,,,,,,,,,,
NP_619772,putative movement protein ,Pelargonium zonate spot virus,309,Bromoviridae; Anulavirus,,,,,,,,,,
NP_619773,coat protein ,Pelargonium zonate spot virus,208,Bromoviridae; Anulavirus,,,,,,,,,,
NP_041196,replicase ,Brome mosaic virus,961,Bromoviridae; Bromovirus,,,,,,,,,,
NP_041197,RNA-dependent RNA polymerase ,Brome mosaic virus,822,Bromoviridae; Bromovirus,,,,,,,,,,
NP_041198,hypothetical protein BMVs3gp1 ,Brome mosaic virus,303,Bromoviridae; Bromovirus,,,,,,,,,,
NP_041199,hypothetical protein BMVs3gp2 ,Brome mosaic virus,189,Bromoviridae; Bromovirus,,,,,,,,,,
NP_040776,3a protein ,Cucumber mosaic virus,279,Bromoviridae; Cucumovirus,,,,,,,,,,
NP_040777,capsid protein ,Cucumber mosaic virus,218,Bromoviridae; Cucumovirus,,,,,,,,,,
NP_049323,replicase ,Cucumber mosaic virus,993,Bromoviridae; Cucumovirus,,,,,,,,,,
NP_049324,RNA-dependent RNA polymerase ,Cucumber mosaic virus,857,Bromoviridae; Cucumovirus,,,,,,,,,,
NP_619631,2b protein ,Cucumber mosaic virus,110,Bromoviridae; Cucumovirus,,,,,,,,,,
NP_620768,putative viral polymerase ,Tobacco streak virus,800,Bromoviridae; Ilarvirus,,,,,,,,,,
NP_620769,putative 2b protein ,Tobacco streak virus,205,Bromoviridae; Ilarvirus,,,,,,,,,,
NP_620772,putative viral replicase ,Tobacco streak virus,1094,Bromoviridae; Ilarvirus,,,,,,,,,,
NP_620773,movement protein ,Tobacco streak virus,289,Bromoviridae; Ilarvirus,,,,,,,,,,
NP_620774,coat protein ,Tobacco streak virus,237,Bromoviridae; Ilarvirus,,,,,,,,,,
NP_620038,cell-to-cell movement protein ,Olive latent virus 2,337,Bromoviridae; Oleavirus,,,,,,,,,,
NP_620039,capsid protein ,Olive latent virus 2,182,Bromoviridae; Oleavirus,,,,,,,,,,
NP_620042,1a protein ,Olive latent virus 2,908,Bromoviridae; Oleavirus,,,,,,,,,,
NP_620043,2a protein ,Olive latent virus 2,787,Bromoviridae; Oleavirus,,,,,,,,,,
NP_062875,polyprotein ,Rabbit hemorrhagic disease virus,2344,Caliciviridae; Lagovirus,,,,,,,,,,
NP_062876,minor capsid protein ,Rabbit hemorrhagic disease virus,117,Caliciviridae; Lagovirus,,,,,,,,,,
NP_663315,polyprotein ,Calicivirus strain NB,2210,Caliciviridae; Nebovirus,,,,,,,,,,
NP_663316,VP2 minor capsid protein ,Calicivirus strain NB,225,Caliciviridae; Nebovirus,,,,,,,,,,
YP_529550,polyprotein ,Newbury agent 1,2210,Caliciviridae; Nebovirus,,,,,,,,,,
NP_056820,nonstructural polyprotein ,Norwalk virus,1789,Caliciviridae; Norovirus,,,,,,,,,,
NP_056821,58 kd capsid protein ,Norwalk virus,530,Caliciviridae; Norovirus,,,,,,,,,,
NP_056822,orf3 ,Norwalk virus,212,Caliciviridae; Norovirus,,,,,,,,,,
YP_077278,polyprotein ,Sapovirus,2280,Caliciviridae; Sapovirus,,,,,,,,,,
YP_077279,hypothetical protein SHV01_gp3 ,Sapovirus,161,Caliciviridae; Sapovirus,,,,,,,,,,
YP_077280,hypothetical protein SHV01_gp2 ,Sapovirus,165,Caliciviridae; Sapovirus,,,,,,,,,,
NP_066255,non-structural polyprotein ,Vesicular exanthema of swine virus,1881,Caliciviridae; Vesivirus,,,,,,,,,,
NP_066256,capsid protein precursor ,Vesicular exanthema of swine virus,701,Caliciviridae; Vesivirus,,,,,,,,,,
NP_066257,small basic protein ,Vesicular exanthema of swine virus,110,Caliciviridae; Vesivirus,,,,,,,,,,
YP_003620396,p130 ,Providence virus,1220,Carmotetraviridae; Alphacarmotetravirus,,,,,,,,,,
YP_003620397,p104 ,Providence virus,915,Carmotetraviridae; Alphacarmotetravirus,,,,,,,,,,
YP_003620398,p40 ,Providence virus,359,Carmotetraviridae; Alphacarmotetravirus,,,,,,,,,,
YP_003620399,p81 ,Providence virus,754,Carmotetraviridae; Alphacarmotetravirus,,,,,,,,,,
YP_654538,replicase ,Citrus leprosis virus C,2512,Cilevirus,,,,,,,,,,
YP_654539,p29 ,Citrus leprosis virus C,263,Cilevirus,,,,,,,,,,
YP_654540,p15 ,Citrus leprosis virus C,130,Cilevirus,,,,,,,,,,
YP_654541,p61 ,Citrus leprosis virus C,537,Cilevirus,,,,,,,,,,
YP_654542,putative movement protein ,Citrus leprosis virus C,297,Cilevirus,,,,,,,,,,
YP_654543,p24 ,Citrus leprosis virus C,214,Cilevirus,,,,,,,,,,
YP_654565,methyltransferase; MTR ,Citrus leprosis virus C,403,Cilevirus,,,,,,,,,,
YP_654566,cysteine protease; C-prot ,Citrus leprosis virus C,109,Cilevirus,,,,,,,,,,
YP_654567,putative helicase; HEL ,Citrus leprosis virus C,284,Cilevirus,,,,,,,,,,
YP_654568,putative RNA dependent RNA polymerase; RdRp ,Citrus leprosis virus C,440,Cilevirus,,,,,,,,,,
NP_813795,polyprotein ,Grapevine leafroll-associated virus 3,2772,Closteroviridae; Ampelovirus,,,,,,,,,,
NP_041871,putative membrane-binding protein ,Beet yellows virus,54,Closteroviridae; Closterovirus,,,,,,,,,,
NP_041872,heat shock 70-related protein ,Beet yellows virus,598,Closteroviridae; Closterovirus,,,,,,,,,,
NP_041873,putative heat shock 90-related protein ,Beet yellows virus,553,Closteroviridae; Closterovirus,,,,,,,,,,
NP_041874,coat protein homolog ,Beet yellows virus,216,Closteroviridae; Closterovirus,,,,,,,,,,
NP_041875,coat protein ,Beet yellows virus,204,Closteroviridae; Closterovirus,,,,,,,,,,
NP_041876,long-distance transport factor ,Beet yellows virus,180,Closteroviridae; Closterovirus,,,,,,,,,,
NP_041877,RNA silencing suppressor ,Beet yellows virus,177,Closteroviridae; Closterovirus,,,,,,,,,,
NP_733948,papain-like protease ,Beet yellows virus,588,Closteroviridae; Closterovirus,,,,,,,,,,
NP_733949,replicase ,Beet yellows virus,2506,Closteroviridae; Closterovirus,,,,,,,,,,
NP_619692,polyprotein ,Lettuce infectious yellows virus,2379,Closteroviridae; Crinivirus,,,,,,,,,,
NP_619694,hypothetical protein LIYVs1gp2 ,Lettuce infectious yellows virus,274,Closteroviridae; Crinivirus,,,,,,,,,,
NP_619695,heat-shock protein ,Lettuce infectious yellows virus,554,Closteroviridae; Crinivirus,,,,,,,,,,
NP_619696,hypothetical protein LIYVs2gp2 ,Lettuce infectious yellows virus,514,Closteroviridae; Crinivirus,,,,,,,,,,
NP_619697,coat protein ,Lettuce infectious yellows virus,249,Closteroviridae; Crinivirus,,,,,,,,,,
NP_619698,duplicated coat protein ,Lettuce infectious yellows virus,452,Closteroviridae; Crinivirus,,,,,,,,,,
NP_619699,hypothetical protein LIYVs2gp5 ,Lettuce infectious yellows virus,227,Closteroviridae; Crinivirus,,,,,,,,,,
YP_004935918,unnamed protein product ,Grapevine leafroll-associated virus 7,2309,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935919,"RdRp gene product, partial ",Grapevine leafroll-associated virus 7,505,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935920,unnamed protein product ,Grapevine leafroll-associated virus 7,35,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935921,HSP70 gene product ,Grapevine leafroll-associated virus 7,549,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935922,p12 gene product ,Grapevine leafroll-associated virus 7,89,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935923,p64 gene product ,Grapevine leafroll-associated virus 7,523,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935924,CP gene product ,Grapevine leafroll-associated virus 7,301,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935925,CPd gene product ,Grapevine leafroll-associated virus 7,602,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935926,unnamed protein product ,Grapevine leafroll-associated virus 7,225,Closteroviridae; Velarivirus,,,,,,,,,,
YP_004935927,unnamed protein product ,Grapevine leafroll-associated virus 7,230,Closteroviridae; Velarivirus,,,,,,,,,,
NP_740305,envelope protein ,Yellow fever virus,493,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_775998,core protein C ,Yellow fever virus,101,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_775999,anchored core protein C ,Yellow fever virus,121,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776000,PreM protein ,Yellow fever virus,164,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776001,matrix protein M ,Yellow fever virus,75,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776002,non-structural protein NS1 ,Yellow fever virus,352,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776003,non-structural protein NS2a ,Yellow fever virus,224,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776004,non-structural protein NS2b ,Yellow fever virus,130,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776005,non-structural protein NS3 ,Yellow fever virus,623,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776006,non-structural protein NS4a ,Yellow fever virus,126,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776007,2K protein ,Yellow fever virus,23,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776008,non-structural protein NS4b ,Yellow fever virus,250,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_776009,non-structural protein NS5 ,Yellow fever virus,905,Flaviviridae; Flavivirus; Yellow fever virus group,,,,,,,,,,
NP_671491,polyprotein ,Hepatitis C virus,3011,Flaviviridae; Hepacivirus,,,,,,,,,,
NP_045010,polyprotein precursor ,Pegivirus A,2967,Flaviviridae; Pegivirus,,,,,,,,,,
NP_040937,polyprotein ,Bovine viral diarrhea virus 1,3988,Flaviviridae; Pestivirus,,,,,,,,,,
NP_056779,polyprotein ,Hepatitis E virus,1693,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056780,"methyltransferase, partial ",Hepatitis E virus,182,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056781,"Y domain, partial ",Hepatitis E virus,217,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056782,"papain-like protease, partial ",Hepatitis E virus,160,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056783,"poly-proline hinge, partial ",Hepatitis E virus,67,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056784,"X domain, partial ",Hepatitis E virus,158,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056785,"helicase, partial ",Hepatitis E virus,245,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056786,"RNA-directed RNA polymerase, partial ",Hepatitis E virus,487,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056787,hypothetical protein HEVgp09 ,Hepatitis E virus,114,Hepeviridae; Hepevirus,,,,,,,,,,
NP_056788,capsid protein ,Hepatitis E virus,660,Hepeviridae; Hepevirus,,,,,,,,,,
YP_004464918,capsid protein ,Cutthroat trout virus,634,Hepeviridae; unclassified Hepeviridae,,,,,,,,,,
YP_004464919,phosphoprotein ,Cutthroat trout virus,225,Hepeviridae; unclassified Hepeviridae,,,,,,,,,,
YP_004464926,methyltransferase ,Cutthroat trout virus,184,Hepeviridae; unclassified Hepeviridae,,,,,,,,,,
YP_004464927,protease ,Cutthroat trout virus,170,Hepeviridae; unclassified Hepeviridae,,,,,,,,,,
YP_004464928,helicase ,Cutthroat trout virus,255,Hepeviridae; unclassified Hepeviridae,,,,,,,,,,
YP_004464929,RNA-dependent RNA polymerase ,Cutthroat trout virus,484,Hepeviridae; unclassified Hepeviridae,,,,,,,,,,
YP_004928118,polyprotein ,Hibiscus green spot virus,2645,Higrevirus,,,,,,,,,,
YP_004928119,p33 ,Hibiscus green spot virus,297,Higrevirus,,,,,,,,,,
YP_004928120,p29 ,Hibiscus green spot virus,258,Higrevirus,,,,,,,,,,
YP_004928121,p23 ,Hibiscus green spot virus,213,Higrevirus,,,,,,,,,,
YP_004928122,p50 ,Hibiscus green spot virus,435,Higrevirus,,,,,,,,,,
NP_620465,non-structural polyprotein ,Raspberry bushy dwarf virus,1694,Idaeovirus,,,,,,,,,,
NP_620466,movement protein ,Raspberry bushy dwarf virus,358,Idaeovirus,,,,,,,,,,
NP_620467,coat protein ,Raspberry bushy dwarf virus,274,Idaeovirus,,,,,,,,,,
NP_046749,maturation protein ,Enterobacteria phage Qbeta,421,Leviviridae; Allolevivirus,,,,,,,,,,
NP_046750,minor coat protein ,Enterobacteria phage Qbeta,329,Leviviridae; Allolevivirus,,,,,,,,,,
NP_046751,major coat protein ,Enterobacteria phage Qbeta,133,Leviviridae; Allolevivirus,,,,,,,,,,
NP_046752,"RNA replicase, beta subunit ",Enterobacteria phage Qbeta,586,Leviviridae; Allolevivirus,,,,,,,,,,
NP_040647,assembly protein ,Enterobacteria phage MS2,393,Leviviridae; Levivirus,,,,,,,,,,
NP_040648,coat protein ,Enterobacteria phage MS2,130,Leviviridae; Levivirus,,,,,,,,,,
NP_040649,lysis protein ,Enterobacteria phage MS2,75,Leviviridae; Levivirus,,,,,,,,,,
NP_040650,rna replicase beta chain ,Enterobacteria phage MS2,545,Leviviridae; Levivirus,,,,,,,,,,
NP_619735,hypothetical 34K protein ,Pea enation mosaic virus-1,303,Luteoviridae; Enamovirus,,,,,,,,,,
NP_619736,hypothetical protein ,Pea enation mosaic virus-1,760,Luteoviridae; Enamovirus,,,,,,,,,,
NP_619738,coat protein ,Pea enation mosaic virus-1,189,Luteoviridae; Enamovirus,,,,,,,,,,
NP_620026,RNA-dependent RNA polymerase ,Pea enation mosaic virus-1,1181,Luteoviridae; Enamovirus,,,,,,,,,,
NP_620027,aphid transmission protein ,Pea enation mosaic virus-1,493,Luteoviridae; Enamovirus,,,,,,,,,,
NP_840014,RNA-dependent RNA polymerase P1-P2 fusion protein ,Barley yellow dwarf virus-PAV,867,Luteoviridae; Luteovirus,,,,,,,,,,
NP_840015,coat protein P3 ,Barley yellow dwarf virus-PAV,200,Luteoviridae; Luteovirus,,,,,,,,,,
NP_840016,putative movement protein P4 ,Barley yellow dwarf virus-PAV,153,Luteoviridae; Luteovirus,,,,,,,,,,
NP_840017,aphid transmission protein P5 ,Barley yellow dwarf virus-PAV,651,Luteoviridae; Luteovirus,,,,,,,,,,
NP_840018,P6 protein ,Barley yellow dwarf virus-PAV,63,Luteoviridae; Luteovirus,,,,,,,,,,
NP_840019,hypothetical protein BYDVPAVgp7 ,Barley yellow dwarf virus-PAV,55,Luteoviridae; Luteovirus,,,,,,,,,,
NP_056746,P0 protein ,Potato leafroll virus,247,Luteoviridae; Polerovirus,,,,,,,,,,
NP_056747,P1 protein ,Potato leafroll virus,639,Luteoviridae; Polerovirus,,,,,,,,,,
NP_056748,RNA-dependent RNA polymerase ,Potato leafroll virus,1062,Luteoviridae; Polerovirus,,,,,,,,,,
NP_056749,coat protein ,Potato leafroll virus,208,Luteoviridae; Polerovirus,,,,,,,,,,
NP_056750,putative genome-linked protein ,Potato leafroll virus,156,Luteoviridae; Polerovirus,,,,,,,,,,
NP_056751,CP read-through protein ,Potato leafroll virus,717,Luteoviridae; Polerovirus,,,,,,,,,,
AAR01970,RNA-dependent RNA polymerase ,Cryphonectria cubensis mitovirus 1a,744,Narnaviridae; Mitovirus,,,,,,,,,,
NP_660178,RNA-dependent RNA polymerase ,Saccharomyces 20S RNA narnavirus,829,Narnaviridae; Narnavirus,,,,,,,,,,
NP_127507,replicase ORF1a polyprotein ,Equine arteritis virus,1727,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_127508,envelope (E) protein ,Equine arteritis virus,67,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705583,nsp1 (PCP1b) ,Equine arteritis virus,260,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705584,nsp2 (CP2) ,Equine arteritis virus,571,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705585,nsp3 (HD) ,Equine arteritis virus,233,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705586,nsp4 (3CLSP) ,Equine arteritis virus,204,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705587,nsp5 (HD) ,Equine arteritis virus,162,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705588,nsp6 ,Equine arteritis virus,22,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705589,nsp7 ,Equine arteritis virus,225,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705590,nsp9 ,Equine arteritis virus,693,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705591,"nsp10 (MB, NTPase/HEL) ",Equine arteritis virus,466,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705592,nsp11 ,Equine arteritis virus,219,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705593,nsp12 ,Equine arteritis virus,118,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_705594,nsp8 ,Equine arteritis virus,50,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
P19811,Replicase polyprotein 1abprotein,Equine arteritis virus Bucyrus,3175,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
P19811,replicase polyprotein 1ab ,Equine arteritis virus Bucyrus,3175,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
NP_740595,nsp1 (pcp1a and pcp1b) ,Porcine reproductive and respiratory syndrome virus,382,Nidovirales; Arteriviridae; Arterivirus,,,,,,,,,,
YP_002308496,orf1ab polyprotein ,Thrush coronavirus,6286,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308497,spike glycoprotein ,Thrush coronavirus,1192,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308498,small membrane protein ,Thrush coronavirus,82,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308499,membrane protein ,Thrush coronavirus,217,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308500,nonstructural protein ,Thrush coronavirus,91,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308501,nucleocapsid phosphoprotein ,Thrush coronavirus,343,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308502,nonstructural protein ,Thrush coronavirus,123,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308503,nonstructural protein ,Thrush coronavirus,83,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_002308504,nonstructural protein ,Thrush coronavirus,77,Nidovirales; Coronaviridae; Coronavirinae,,,,,,,,,,
YP_004070193,polyprotein ab ,Feline infectious peritonitis virus,6709,Nidovirales; Coronaviridae; Coronavirinae; Alphacoronavirus,,,,,,,,,,
